t_sec,joint,position,velocity,effort
1.336836893,J3,-0.093537993,0.369258075,0.247067891
1.346794698,J1,0.506457916,0.122733456,0.002996255
1.346794698,J2,2.134552263,0.445163569,-1.015652750
1.346794698,J3,-0.089880811,0.365718234,0.246973354
1.356788682,J1,0.507740489,0.128257358,0.003350394
1.356788682,J2,2.139260988,0.470872447,-1.021052967
1.356788682,J3,-0.085919014,0.396179622,0.246665142
1.366782736,J1,0.508983357,0.124286733,0.003188115
1.366782736,J2,2.143849875,0.458888774,-1.026541965
1.366782736,J3,-0.082016919,0.390209502,0.246603489
1.376769037,J1,0.510278176,0.129481925,0.003534760
1.376769037,J2,2.148681783,0.483190745,-1.032083158
1.376769037,J3,-0.077829437,0.418748242,0.246319771
1.386780342,J1,0.511531204,0.125302751,0.003351026
1.386780342,J2,2.153381380,0.469959678,-1.037701750
1.386780342,J3,-0.073721578,0.410785895,0.246286795
1.396773698,J1,0.512746334,0.121513059,0.003189630
1.396773698,J2,2.157961852,0.458047263,-1.043160309
1.396773698,J3,-0.069684492,0.403708633,0.246252906
1.406778508,J1,0.514013916,0.126758138,0.003538682
1.406778508,J2,2.162785830,0.482397774,-1.048666172
1.406778508,J3,-0.065368409,0.431608301,0.245996036
1.416768720,J1,0.515241299,0.122738383,0.003355399
1.416768720,J2,2.167478134,0.469230435,-1.054250027
1.416768720,J3,-0.061141235,0.422717350,0.245987648
1.426712626,J1,0.516432226,0.119092687,0.003194390
1.426712626,J2,2.172051903,0.457376883,-1.059673566
1.426712626,J3,-0.056993178,0.414805697,0.245976668
1.436722884,J1,0.517675791,0.124356458,0.003545608
1.436722884,J2,2.176869612,0.481770886,-1.065140145
1.436722884,J3,-0.052570005,0.442317315,0.245742159
1.446733421,J1,0.518880450,0.120465963,0.003362373
1.446733421,J2,2.181556180,0.468656775,-1.070685584
1.446733421,J3,-0.048242821,0.432718414,0.245754414
1.456786283,J1,0.520049822,0.116937105,0.003201408
1.456786283,J2,2.186124707,0.456852690,-1.076070814
1.456786283,J3,-0.044001110,0.424171054,0.245762781
1.466795842,J1,0.521271793,0.122197132,0.003554619
