t_sec,joint,position,velocity,effort
0.598311242,J2,-1.969583758,0.702316164,-0.237484432
0.598311242,J3,-0.314976776,0.815282760,-0.319826783
0.608162611,J1,-1.056280479,-0.798302589,0.006634421
0.608162611,J2,-1.962420573,0.716318483,-0.227889090
0.608162611,J3,-0.306639231,0.833754484,-0.319930588
0.618179508,J1,-1.064416206,-0.813572740,0.006643183
0.618179508,J2,-1.955131367,0.728920569,-0.218125999
0.618179508,J3,-0.298135441,0.850379036,-0.320023267
0.628179224,J1,-1.072689365,-0.827315875,0.006610291
0.628179224,J2,-1.947728743,0.740262448,-0.208209316
0.628179224,J3,-0.289482030,0.865341132,-0.320105371
0.638198426,J1,-1.081086212,-0.839684697,0.006538866
0.638198426,J2,-1.940224042,0.750470138,-0.198151710
0.638198426,J3,-0.280693960,0.878807019,-0.320177472
0.648178376,J1,-1.089594378,-0.850816636,0.006431945
0.648178376,J2,-1.932627471,0.759657059,-0.187964548
0.648178376,J3,-0.271784696,0.890926317,-0.320240139
0.658198067,J1,-1.098202732,-0.860835382,0.006292445
0.658198067,J2,-1.924948218,0.767925289,-0.177658059
0.658198067,J3,-0.262766360,0.901833685,-0.320293938
0.668191287,J1,-1.106901255,-0.869852253,0.006123132
0.668191287,J2,-1.917194551,0.775366695,-0.167241466
0.668191287,J3,-0.253649856,0.911650317,-0.320339413
0.678315114,J1,-1.115680929,-0.877967436,0.005926610
0.678315114,J2,-1.909373912,0.782063961,-0.156723108
0.678315114,J3,-0.244445003,0.920485285,-0.320377090
0.688234370,J1,-1.124533640,-0.885271102,0.005705307
0.688234370,J2,-1.901492997,0.788091500,-0.146110540
0.688234370,J3,-0.235160636,0.928436757,-0.320407469
0.698212574,J1,-1.133452084,-0.891844401,0.005461477
0.698212574,J2,-1.893557834,0.793516285,-0.135410624
0.698212574,J3,-0.225804705,0.935593081,-0.320431024
0.708184842,J1,-1.142429688,-0.897760370,0.005197201
0.708184842,J2,-1.885573848,0.798398592,-0.124629608
0.708184842,J3,-0.216384367,0.942033773,-0.320448198
0.718177852,J1,-1.151460535,-0.903084742,0.004914391
0.718177852,J2,-1.877545921,0.802792668,-0.113773188
0.718177852,J3,-0.206906063,0.947830396,-0.320459408
0.728273114,J1,-1.160539302,-0.907876677,0.004614797
0.728273114,J2,-1.869478448,0.806747336,-0.102846574
0.728273114,J3,-0.197375590,0.953047356,-0.320465040
0.738310475,J1,-1.169661196,-0.912189419,0.004300020
0.738310475,J2,-1.861375382,0.810306538,-0.091854539
0.738310475,J3,-0.187798164,0.957742620,-0.320465455
0.748235179,J1,-1.178821905,-0.916070886,0.003971515
0.748235179,J2,-1.853240284,0.813509819,-0.080801464
0.748235179,J3,-0.178178480,0.961968358,-0.320460984
0.758224977,J1,-1.188017547,-0.919564206,0.003630607
0.758224977,J2,-1.845076357,0.816392772,-0.069691383
0.758224977,J3,-0.168520765,0.965771523,-0.320451934
0.768255424,J1,-1.197244629,-0.922708195,0.003278496
0.768255424,J2,-1.836886482,0.818987430,-0.058528012
0.768255424,J3,-0.158828821,0.969194370,-0.320438589
0.778321490,J1,-1.206500007,-0.925537785,0.002916272
0.778321490,J2,-1.828673256,0.821322622,-0.047314790
0.778321490,J3,-0.149106072,0.972274933,-0.320421208
0.788284119,J1,-1.215780851,-0.928084415,0.002544921
0.788284119,J2,-1.820439013,0.823424295,-0.036054897
0.788284119,J3,-0.139355597,0.975047440,-0.320400028
0.798345786,J1,-1.225084615,-0.930376383,0.002165335
0.798345786,J2,-1.812185855,0.825315801,-0.024751289
0.798345786,J3,-0.129580170,0.977542696,-0.320375269
0.808283481,J1,-1.234409007,-0.932439154,0.001778321
0.808283481,J2,-1.803915673,0.827018156,-0.013406713
0.808283481,J3,-0.119782286,0.979788426,-0.320347130
0.818260847,J1,-1.243746267,-0.933726072,0.001383143
0.818260847,J2,-1.795635216,0.828045781,-0.002034746
0.818260847,J3,-0.109970180,0.981210663,-0.320310590
0.828305891,J1,-1.253076576,-0.933030906,0.000980082
