t_sec,joint,position_cmd,velocity_cmd
0.215329899,joint2,-0.521601328,0.400000000
0.225331990,joint0,-0.856235642,-0.399421718
0.225331990,joint1,-2.138776730,0.353782528
0.225331990,joint2,-0.517501328,0.420000000
0.235333591,joint0,-0.860324960,-0.418441800
0.235333591,joint1,-2.135154671,0.370629315
0.235333591,joint2,-0.513201328,0.440000000
0.245334633,joint0,-0.864604478,-0.437461882
0.245334633,joint1,-2.131364144,0.387476102
0.245334633,joint2,-0.508701328,0.460000000
0.255310253,joint0,-0.869074197,-0.456481964
0.255310253,joint1,-2.127405149,0.404322889
0.255310253,joint2,-0.504001328,0.480000000
0.265331969,joint0,-0.873734118,-0.475502046
0.265331969,joint1,-2.123277686,0.421169676
0.265331969,joint2,-0.499101328,0.500000000
0.275313805,joint0,-0.878584238,-0.494522128
0.275313805,joint1,-2.118981756,0.438016463
0.275313805,joint2,-0.494001328,0.520000000
0.285325953,joint0,-0.883624560,-0.513542209
0.285325953,joint1,-2.114517357,0.454863250
0.285325953,joint2,-0.488701328,0.540000000
0.295329649,joint0,-0.888855083,-0.532562291
0.295329649,joint1,-2.109884491,0.471710037
0.295329649,joint2,-0.483201328,0.560000000
0.305317422,joint0,-0.894275806,-0.551582373
0.305317422,joint1,-2.105083156,0.488556824
0.305317422,joint2,-0.477501328,0.580000000
0.315328731,joint0,-0.899886730,-0.570602455
0.315328731,joint1,-2.100113354,0.505403611
0.315328731,joint2,-0.471601328,0.600000000
0.325328377,joint0,-0.905687855,-0.589622537
0.325328377,joint1,-2.094975084,0.522250398
0.325328377,joint2,-0.465501328,0.620000000
0.335329839,joint0,-0.911679181,-0.608642619
0.335329839,joint1,-2.089668346,0.539097185
0.335329839,joint2,-0.459201328,0.640000000
0.345319147,joint0,-0.917860707,-0.627662700
0.345319147,joint1,-2.084193140,0.555943972
0.345319147,joint2,-0.452701328,0.660000000
0.355320888,joint0,-0.924232435,-0.646682782
0.355320888,joint1,-2.078549467,0.572790759
0.355320888,joint2,-0.446001328,0.680000000
0.365325004,joint0,-0.930794363,-0.665702864
0.365325004,joint1,-2.072737325,0.589637546
0.365325004,joint2,-0.439101328,0.700000000
0.375305094,joint0,-0.937546492,-0.684722946
0.375305094,joint1,-2.066756716,0.606484333
0.375305094,joint2,-0.432001328,0.720000000
0.385330442,joint0,-0.944488822,-0.703743028
0.385330442,joint1,-2.060607639,0.623331120
0.385330442,joint2,-0.424701328,0.740000000
0.395331135,joint0,-0.951621353,-0.722763110
0.395331135,joint1,-2.054290093,0.640177907
0.395331135,joint2,-0.417201328,0.760000000
0.405332457,joint0,-0.958944084,-0.741783191
0.405332457,joint1,-2.047804080,0.657024694
0.405332457,joint2,-0.409501328,0.780000000
0.415321208,joint0,-0.966457016,-0.760803273
0.415321208,joint1,-2.041149600,0.673871481
0.415321208,joint2,-0.401601328,0.800000000
0.425315476,joint0,-0.974160150,-0.779823355
0.425315476,joint1,-2.034326651,0.690718268
0.425315476,joint2,-0.393501328,0.820000000
0.435315191,joint0,-0.982053484,-0.798843437
0.435315191,joint1,-2.027335234,0.707565055
0.435315191,joint2,-0.385201328,0.840000000
0.445321403,joint0,-0.990137018,-0.817863519
0.445321403,joint1,-2.020175350,0.724411842
0.445321403,joint2,-0.376701328,0.860000000
0.455305543,joint0,-0.998410754,-0.836883601
0.455305543,joint1,-2.012846997,0.741258629
0.455305543,joint2,-0.368001328,0.880000000
0.465350098,joint0,-1.006874690,-0.855903682
0.465350098,joint1,-2.005350177,0.758105416
0.465350098,joint2,-0.359101328,0.900000000
0.475324391,joint0,-1.015528828,-0.874923764
0.475324391,joint1,-1.997684889,0.774952203
0.475324391,joint2,-0.350001328,0.920000000
0.485336679,joint0,-1.024373166,-0.893943846
0.485336679,joint1,-1.989851133,0.791798991
0.485336679,joint2,-0.340701328,0.940000000
0.495316908,joint0,-1.033407705,-0.912963928
0.495316908,joint1,-1.981848909,0.808645778
0.495316908,joint2,-0.331201328,0.960000000
0.505323678,joint0,-1.042632444,-0.931984010
0.505323678,joint1,-1.973678217,0.825492565
0.505323678,joint2,-0.321501328,0.980000000
0.515316619,joint0,-1.052047385,-0.951004092
0.515316619,joint1,-1.965339058,0.842339352
0.515316619,joint2,-0.311601328,1.000000000
0.525305160,joint0,-1.061557426,-0.951004092
0.525305160,joint1,-1.956915664,0.842339352
0.525305160,joint2,-0.301601328,1.000000000
0.535316818,joint0,-1.071067467,-0.951004092
0.535316818,joint1,-1.948492271,0.842339352
0.535316818,joint2,-0.291601328,1.000000000
0.545423604,joint0,-1.080577507,-0.951004092
0.545423604,joint1,-1.940068877,0.842339352
0.545423604,joint2,-0.281601328,1.000000000
0.555306123,joint0,-1.090087548,-0.951004092
0.555306123,joint1,-1.931645484,0.842339352
0.555306123,joint2,-0.271601328,1.000000000
0.565332518,joint0,-1.099597589,-0.951004092
0.565332518,joint1,-1.923222090,0.842339352
0.565332518,joint2,-0.261601328,1.000000000
0.575324342,joint0,-1.109107630,-0.951004092
0.575324342,joint1,-1.914798697,0.842339352
0.575324342,joint2,-0.251601328,1.000000000
0.585325105,joint0,-1.118617671,-0.951004092
0.585325105,joint1,-1.906375303,0.842339352
0.585325105,joint2,-0.241601328,1.000000000
0.595327335,joint0,-1.128127712,-0.951004092
0.595327335,joint1,-1.897951910,0.842339352
0.595327335,joint2,-0.231601328,1.000000000
0.605311266,joint0,-1.137637753,-0.951004092
0.605311266,joint1,-1.889528516,0.842339352
0.605311266,joint2,-0.221601328,1.000000000
0.615327954,joint0,-1.147147794,-0.951004092
0.615327954,joint1,-1.881105123,0.842339352
0.615327954,joint2,-0.211601328,1.000000000
0.625333118,joint0,-1.156657835,-0.951004092
0.625333118,joint1,-1.872681729,0.842339352
0.625333118,joint2,-0.201601328,1.000000000
0.635315652,joint0,-1.166167876,-0.951004092
0.635315652,joint1,-1.864258336,0.842339352
0.635315652,joint2,-0.191601328,1.000000000
0.645316206,joint0,-1.175677917,-0.951004092
